symbol,time,open,close,high,low,volume,currency,data_provider
META240202C00110000,2024-01-19 18:00:00,271.39,271.39,271.39,271.39,1,USD,polygon.io
META240202C00110000,2024-01-22 16:00:00,277.4,277.4,277.4,277.4,1,USD,polygon.io
META240202C00110000,2024-01-29 20:00:00,290.45,290.45,290.45,290.45,1,USD,polygon.io
META240202P00150000,2024-01-10 19:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
META240202P00150000,2024-01-24 18:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
META240202P00150000,2024-01-25 18:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
META240202P00150000,2024-01-26 18:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
META240202P00150000,2024-01-26 19:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
META240202P00150000,2024-01-29 20:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
META240202P00170000,2024-01-12 20:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
META240202P00180000,2024-01-19 20:00:00,0.02,0.02,0.02,0.02,100,USD,polygon.io
AAPL240202C00075000,2024-01-18 16:00:00,112.6,112.6,112.6,112.6,1,USD,polygon.io
AAPL240202C00080000,2024-01-17 20:00:00,102.55,102.55,102.55,102.55,1,USD,polygon.io
AAPL240202C00080000,2024-01-29 20:00:00,111.51,111.51,111.51,111.51,1,USD,polygon.io
AAPL240202C00090000,2024-01-29 18:00:00,100.77,100.77,100.77,100.77,4,USD,polygon.io
AAPL240202P00080000,2024-01-10 19:00:00,0.01,0.01,0.01,0.01,60,USD,polygon.io
AAPL240202P00090000,2024-01-29 15:00:00,0.01,0.01,0.01,0.01,8,USD,polygon.io
AAPL240202P00100000,2024-01-16 21:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
MSFT240202C00250000,2024-01-17 16:00:00,136.15,136.15,136.15,136.15,1,USD,polygon.io
MSFT240202C00260000,2024-01-26 20:00:00,143.57,143.57,143.57,143.57,7,USD,polygon.io
MSFT240202C00265000,2024-01-25 21:00:00,138.65,138.65,138.65,138.65,1,USD,polygon.io
MSFT240202P00190000,2024-01-16 17:00:00,0.03,0.04,0.04,0.03,32,USD,polygon.io
MSFT240202P00190000,2024-01-22 20:00:00,0.02,0.02,0.02,0.02,2,USD,polygon.io
MSFT240202P00190000,2024-01-29 18:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
MSFT240202P00200000,2024-01-16 17:00:00,0.03,0.04,0.04,0.03,7,USD,polygon.io
MSFT240202P00210000,2024-01-11 19:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
MSFT240202P00210000,2024-01-12 19:00:00,0.02,0.02,0.02,0.02,1,USD,polygon.io
MSFT240202P00210000,2024-01-12 21:00:00,0.04,0.04,0.04,0.04,1,USD,polygon.io
MSFT240202P00210000,2024-01-16 17:00:00,0.03,0.04,0.06,0.03,39,USD,polygon.io
MSFT240202P00210000,2024-01-29 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
